X,Y,Name,Attribute,CATCOA,CATROD,CATSLO,ELEVAT,NATCON,OBJNAM,SORDAT,SORIND,STATUS,VALDCO
-64.6183199352039,-42.4192928045419,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6051716682456,-42.4234258674266,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.59935495,-42.42537235,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6091112,-42.42059055,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.5937979,-42.42650275,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.612904142621,-42.4241542668386,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.2685382078071,-42.2411853667245,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6064781475082,-42.4228217094915,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6016152,-42.4243468,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6187808767525,-42.4160315183802,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6197778150589,-42.4172795577059,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.610107721412,-42.4207186788485,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6068414,-42.42397445,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6179961025564,-42.4176828714724,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6114349395212,-42.423631824483,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.609743,-42.4225797,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6162937722395,-42.4200188588658,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6172119041666,-42.4207368484136,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.5973529,-42.4259494,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.617894,-42.42006035,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.6193873511225,-42.4156276145175,Tideway,Value,,,,,,,19950401,"AR,AR,graph,H277",,
-64.4982268743219,-42.4313907142348,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.353297052433,-42.4288982539411,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.2193339499513,-42.4366359323193,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1938668779706,-42.4236138655909,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5601882827249,-42.4336205221795,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.2274945316261,-42.2452515601583,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.0412465,-42.2933013,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.0840063466199,-42.2564274725164,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5541543430465,-42.3022893883596,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5602186879285,-42.4386683780967,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.188243206265,-42.4248796028792,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.6348469782168,-42.2288196782578,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4938936044868,-42.2387827999323,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4730587651939,-42.2449699122695,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5656057116778,-42.4352428070766,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
