lat,lon,utm_x,utm_y,prof
-42.39333300000000,-64.56666700000000,371052.9971790000,5305362.17081700,38.0
-42.285,-64.395,384985.2729790000,5317637.616638000,64.0
-42.285,-64.33833300000001,389657.4005710000,5317712.612229000,64.0
-42.28,-64.26333300000000,395832.8457030000,5318362.2725379998,42.0
-42.27333300000000,-64.18,402693.8701820000,5319201.096333000,40.0
-42.291666999999997,-64.075,411378.26904500002,5317280.063638000,44.0
-42.3,-64.1,409329.23074999999,5316328.432613000,56.0
-42.30833300000000,-64.225,399038.90877799998,5315262.40639900,63.0
-42.30833300000000,-64.225,399038.90877799998,5315262.40639900,75.0
-42.30833300000000,-64.34166700000000,389423.40589100000,5315117.410863000,80.0
-42.29333300000000,-64.33833300000001,389671.946518000,5316787.300650000,54.0
-42.32333300000000,-64.39333300000000,385192.3712300000,5313383.41364100,82.0
-42.31,-64.45666700000000,379948.39222699997,5314776.5169230001,67.0
-42.303333000000002,-64.49166700000001,377050.8204280000,5315466.802710000,53.0
-42.343333000000001,-64.49833300000000,376579.538438000,5311015.60032000,74.0
-42.34,-64.46166700000001,379593.5403100000,5311438.292902000,55.0
-42.335,-64.37666700000000,386586.6576020000,5312110.323321000,82.0
-42.34166700000000,-64.33833300000001,389756.3592630000,5311420.468324000,53.0
-42.34166700000000,-64.29666700000000,393188.65840199997,5311473.637525000,76.0
-42.33833300000000,-64.16833300000000,403755.0229270000,5311996.955102000,66.0
-42.358333000000002,-64.09166700000000,410099.2519970000,5309860.107733000,52.0
-42.375,-64.24,397910.55599999998,5307841.972857000,49.0
-42.361666999999997,-64.27,395418.4942100000,5309286.017925000,44.0
-42.37166700000000,-64.34166700000000,389534.33952899999,5308084.98279100,52.0
-42.388333000000003,-64.37333300000000,386956.9348390000,5306192.689286000,50.0
-42.375,-64.49666700000000,376778.72864400002,5307501.77052700,57.0
-42.376666999999998,-64.56166700000000,371430.5275650000,5307220.417031000,34.0
-42.4,-64.51166700000000,375593.1311120000,5304703.914659000,30.0
-42.401667000000003,-64.435,381905.8819010000,5304628.277366000,32.0
-42.39,-64.21833300000000,399718.2794950000,5306202.189958000,49.0
-42.39,-64.16333299999999,404245.4204050000,5306265.633437000,46.0
-42.38666700000000,-64.11666700000001,408081.7607490000,5306687.293528000,41.0
-42.276667000000003,-64.125,407234.2725440000,5318892.352286000,25.0
-42.321666999999998,-64.48833300000000,377361.17871200002,5313435.906943000,70.0
-42.30833300000000,-64.18333300000000,402473.0070540000,5315310.994911000,65.0
-42.278333000000003,-64.14166700000000,405862.42897299997,5318689.001812000,55.0
-42.266666999999998,-64.28833299999999,393749.0603350000,5319811.878446000,60.0
-42.32666700000000,-64.35833300000000,388082.25644999999,5313059.924130000,75.0
-42.376666999999998,-64.40166700000000,384603.32595700002,5307450.066038000,45.0
-42.36666700000000,-64.53333300000000,373743.18551400001,5308373.289808000,65.0
-42.29666700000000,-64.41,383769.9875300000,5316321.803820000,65.0
-42.35,-64.225,399105.52884400001,5310635.837296000,45.0
-42.25666700000000,-64.24833300000000,397031.7045310000,5320971.368034000,0.0
-42.275,-64.12666700000000,407094.391823000,5319075.595893000,22.2
-42.333333000000003,-64.4,384661.3156730000,5312264.011910000,77.7
-42.35166700000000,-64.41666700000000,383322.1196570000,5310205.568169000,82.0
-42.288333000000002,-64.26333300000000,395846.57485600002,5317436.96437700,41.0
-42.306666999999997,-64.14833299999999,405355.1488610000,5315535.571164000,61.0
-42.31166700000000,-64.305,392451.10131800000,5314794.276375000,74.0
-42.31166700000000,-64.40833300000000,383934.9386900000,5314658.50864100,84.0
-42.345,-64.52833300000000,374111.6546310000,5310786.5597510003,40.0
-42.35166700000000,-64.41666700000000,383322.1196570000,5310205.568169000,82.0
-42.375,-64.22333300000000,399282.7455500000,5307861.8566410001,71.0
-42.365,-64.12,407775.67396599997,5309089.508947000,54.0
-42.36333300000000,-64.16833300000000,403793.1612810000,5309221.008991000,34.0
-42.37833300000000,-64.43,382273.76314100000,5307226.141144000,52.0
-42.373333000000002,-64.46,379794.3953110000,5307739.345458000,62.0
-42.39333300000000,-64.56666700000000,371052.9971790000,5305362.17081700,38.0
-42.395368,-64.36455,387692.47392299998,5305423.211855000,30.5
-41.799526,-64.398174,383842.5112140000,5371537.0293669999,118.0
-42.295247,-64.437522,381498.56917199999,5316441.492823000,42.0
-42.350888,-64.536933,373415.1036690000,5310119.993254000,32.0
-42.098027,-64.551253,371724.6655590000,5338175.558858000,165.0
-42.352303,-64.454001,380248.37887000002,5310083.004887000,61.0
-42.210413,-64.31674,391309.76489799999,5326022.253276000,10.5
-42.01959,-64.49703,376056.07833300001,5346964.711413000,152.0
-42.105313,-64.21454,399579.93441400002,5337817.195308000,37.0
-42.154629,-64.236685,397828.2181360000,5332315.176439000,35.0
-42.168246,-64.468967,378663.3017390000,5330499.040643000,166.0
-42.149333,-64.090455,409902.0161000000,5333067.8963789996,27.5
-42.329554,-64.312871,391833.06513399997,5312798.127619000,62.0
