RCID,Latitud,Longitud,Profundidad
2,-42.3953680,-64.3645500,30.5
3,-41.7995260,-64.3981740,118.0
9,-42.2952470,-64.4375220,42.0
10,-42.3508880,-64.5369330,32.0
11,-42.0980270,-64.5512530,165.0
13,-42.3523030,-64.4540010,61.0
15,-42.2104130,-64.3167400,10.5
16,-42.0195900,-64.4970300,152.0
17,-42.1053130,-64.21454,37.0
19,-42.1546290,-64.2366850,35.0
20,-42.1682460,-64.4689670,166.0
21,-42.1493330,-64.0904550,27.5
25,-42.3295540,-64.3128710,62.0
26,-41.7483210,-64.2998350,116.0
27,-42.3794280,-64.0764730,32.0
28,-42.2163900,-64.3239510,9.3
29,-42.2960170,-64.2973470,61.0
30,-42.244421,-64.264506,1.8
32,-42.3907150,-64.4713960,34.0
34,-42.4076500,-64.3619650,17.5
36,-42.3665210,-64.333131,44.0
37,-42.2256250,-64.4910400,36.0
38,-41.9758860,-64.4374260,152.0
39,-42.2080600,-64.2626830,3.2
40,-42.1815300,-64.6475660,115.0
41,-42.2974810,-64.3536350,69.0
42,-42.248847,-64.4175090,23.5
47,-42.4254250,-64.4004270,3.4
48,-42.103659,-64.0900420,49.0
49,-42.3402930,-64.4549130,55.0
50,-42.1960940,-64.3847240,132.0
52,-42.3658840,-64.3818510,48.0
54,-42.3017550,-64.1636050,55.0
55,-42.2917030,-64.3722080,59.0
57,-42.4229560,-64.470616,11.5
58,-42.170488,-64.1610760,9.6
59,-42.1543250,-64.1549870,31.0
60,-42.3454770,-64.0759300,23.5
61,-42.182567,-64.3072970,112.0
62,-42.3527700,-64.4223960,65.0
66,-42.0972840,-64.0583100,40.0
67,-42.1826060,-64.193321,23.5
69,-42.3658360,-64.3617100,56.0
70,-42.4096940,-64.4886440,5.8
71,-42.0536320,-64.538546,161.0
72,-42.3701810,-64.0886750,45.0
73,-42.2241810,-64.4336110,62.0
74,-42.0622380,-64.5801850,153.0
75,-42.3732840,-64.5554640,33.0
76,-42.4158270,-64.1573250,2.2
80,-41.9832280,-64.6398520,136.0
81,-42.0050430,-64.5237910,145.0
82,-42.2136070,-64.4280450,106.0
83,-42.3957370,-64.2698150,22.5
84,-42.1169940,-64.3040680,165.0
86,-42.3797200,-64.0964050,47.0
87,-42.2196210,-64.5084020,55.0
88,-42.4064590,-64.4160140,9.5
89,-42.1830040,-64.1365840,9.2
90,-42.119141,-64.5040180,173.0
91,-42.2558560,-64.2878620,6.8
95,-42.2718420,-64.3352320,28.5
96,-42.2426480,-64.2454150,3.6
97,-42.2875050,-64.3281110,54.0
98,-42.2798360,-64.2703410,42.0
99,-41.9912910,-64.4607180,169.0
100,-41.9745410,-64.3660500,149.0
101,-42.2021880,-64.2724600,11.6
104,-42.1259430,-64.1216590,43.0
106,-42.409881,-64.1685870,7.0
107,-41.7525060,-64.3980880,127.0
108,-42.2181170,-64.6554240,9.9
110,-41.9912750,-64.4813940,149.0
112,-42.0214390,-64.5498780,147.0
113,-42.3604780,-64.2685410,51.0
114,-42.1917730,-64.3224700,107.0
117,-42.3357520,-64.2963740,69.0
118,-42.3015790,-64.5282140,14.5
120,-42.2062470,-64.3586150,102.0
123,-42.1260380,-64.3748780,176.0
124,-42.2788320,-64.4895230,7.3
127,-42.420592,-64.3735940,5.8
131,-42.2952080,-64.2314620,48.0
132,-41.7338440,-64.2314090,110.0
133,-42.3831820,-64.1316820,35.0
134,-42.3970360,-64.5908390,1.7
135,-42.2196980,-64.5530170,44.0
136,-42.1907140,-64.173737,2.3
137,-42.3532120,-64.1654980,58.0
138,-42.348608,-64.3987630,59.0
140,-42.2294610,-64.4385210,28.5
141,-42.2612410,-64.1735930,11.5
142,-42.3837650,-64.547682,22.5
143,-42.003659,-64.58113,171.0
144,-42.4153500,-64.5067180,9.4
146,-42.3480430,-64.0847060,39.0
147,-42.3753030,-64.5163820,49.0
149,-42.1507350,-64.2804000,136.0
153,-42.1365800,-64.2743900,141.0
155,-42.4132210,-64.5658080,13.5
156,-42.1171770,-64.1201770,52.0
157,-42.199348,-64.2340630,4.2
158,-42.3838200,-64.191383,35.0
160,-41.7687350,-64.093922,101.0
161,-42.1262300,-64.07041,34.0
162,-42.11076,-64.144553,46.0
